ID,Gender,Age,Region_Code,Occupation,Channel_Code,Vintage,Credit_Product,Avg_Account_Balance,Is_Active,Is_Lead
HZNDNUKB,Female,45,RG261,Self_Employed,X1,31,Yes,245729,No,0
8ZMGEF76,Male,32,RG257,Self_Employed,X3,44,No,1183806,No,0
NWZCSWRI,Female,27,RG281,Salaried,X1,27,Yes,726284,No,0
W256G9AX,Female,26,RG268,Salaried,X1,15,No,1279793,Yes,0
WOEJVBMC,Female,51,RG284,Self_Employed,X1,81,No,1663178,No,0
CXNM7PZE,Female,57,RG269,Self_Employed,X2,97,No,1180220,No,1
RRHKIXFD,Female,31,RG282,Salaried,X1,19,No,778055,No,0
7RXTRDWS,Male,41,RG268,Self_Employed,X1,49,,1001036,No,0
M7SZ7HFQ,Female,50,RG283,Self_Employed,X3,109,,807434,Yes,1
6TSWW7J2,Male,45,RG254,Self_Employed,X2,33,No,1085924,Yes,0
GCY8FWQY,Male,50,RG276,Entrepreneur,X3,98,,1765920,Yes,1
7D9UJIVE,Male,30,RG264,Salaried,X1,31,No,522590,No,0
MVQMEAVR,Female,38,RG283,Self_Employed,X3,32,Yes,985577,Yes,0
SAYG7E3A,Male,65,RG254,Other,X2,21,No,1507054,No,0
CT55ZKCD,Female,45,RG283,Other,X3,68,No,1745236,Yes,0
YDA8FZIU,Male,81,RG283,Other,X3,49,No,2066971,Yes,0
EJUBTYBC,Male,55,RG274,Self_Employed,X3,31,No,843728,Yes,0
9GFWWB8N,Female,46,RG268,Self_Employed,X3,73,Yes,1958133,No,1
VSMSRMD8,Female,29,RG280,Salaried,X2,27,Yes,1229748,No,1
UK2V6R8A,Female,51,RG268,Self_Employed,X3,116,No,1637368,Yes,1
DDWUT5CZ,Male,29,RG283,Salaried,X1,33,No,1808115,No,0
AR5JKEKV,Female,37,RG268,Self_Employed,X2,25,No,878955,Yes,0
P83BBCFT,Male,27,RG275,Salaried,X1,15,No,1477124,No,0
OFGKHOKN,Male,54,RG281,Self_Employed,X2,62,No,682941,Yes,0
BEUG82M9,Male,43,RG268,Self_Employed,X3,74,No,1830970,No,1
EAZFSSDQ,Female,31,RG261,Salaried,X1,20,No,834891,No,0
BHYV83H9,Female,28,RG276,Salaried,X1,19,No,468905,Yes,0
IIIGEV5Z,Male,60,RG268,Other,X2,79,,776097,No,1
T7MZTLDL,Male,75,RG254,Other,X3,109,No,2107306,No,1
84JD9HS2,Male,30,RG257,Other,X1,13,No,562257,No,0
JEUQMQXU,Male,32,RG269,Self_Employed,X3,26,No,1088354,Yes,0
3N3YKLVB,Male,64,RG283,Other,X2,92,Yes,1139582,No,0
H68HREE6,Female,49,RG284,Self_Employed,X2,92,,2561687,No,1
FIMBVUFK,Male,31,RG280,Salaried,X1,15,No,545828,No,0
BZ6VYNOT,Female,28,RG264,Salaried,X1,19,No,271966,No,0
SXNDPIYC,Female,49,RG281,Other,X2,91,,493958,No,1
KPYIRDMW,Female,34,RG273,Other,X1,31,Yes,895945,No,0
6GV7UBKK,Female,56,RG284,Self_Employed,X3,104,No,1588000,No,0
TP7RSJMU,Female,26,RG257,Salaried,X1,13,No,618487,No,0
K4VACQQR,Female,30,RG263,Salaried,X1,20,No,423960,No,0
ENSW2L7Y,Male,30,RG254,Salaried,X1,19,Yes,1140143,No,0
JXEHUL4B,Male,30,RG260,Salaried,X1,32,No,405172,No,0
O43CMHTT,Male,55,RG267,Self_Employed,X2,51,No,668265,No,0
FISW7YB9,Female,65,RG284,Other,X2,26,No,1373474,Yes,0
WUWVSIH3,Male,31,RG260,Salaried,X1,32,No,524904,No,1
MSVVNG3P,Male,26,RG281,Salaried,X1,27,No,565274,No,0
M26HYHGH,Female,63,RG283,Other,X1,74,No,1123989,No,0
JV2IAUNT,Male,29,RG268,Self_Employed,X1,19,No,2872448,No,0
UXWKJDUM,Female,28,RG278,Salaried,X1,33,No,934144,No,0
BGUR4IZI,Male,34,RG280,Salaried,X2,14,Yes,413574,No,1
KLZQV9JD,Female,29,RG274,Salaried,X1,14,No,752014,No,0
EEBQJQSJ,Male,44,RG263,Self_Employed,X3,80,Yes,1267911,No,1
RGGUDVWV,Male,47,RG269,Other,X2,19,,314125,Yes,1
DR4WMTT9,Female,32,RG284,Salaried,X1,32,No,695686,Yes,0
TVDG77QQ,Female,28,RG250,Salaried,X1,20,No,561029,No,0
QZIH8PUU,Female,49,RG268,Entrepreneur,X3,43,Yes,1770263,Yes,1
ECPFBT6X,Female,28,RG283,Salaried,X1,13,No,917857,Yes,0
B3SZXEA3,Male,85,RG282,Other,X3,115,Yes,891513,No,0
JNBVBAHJ,Male,28,RG268,Salaried,X1,20,No,570570,No,0
3UZH5WHW,Male,31,RG277,Salaried,X1,15,No,1130228,No,0
N8GDBLK8,Female,27,RG270,Salaried,X1,13,No,378321,No,0
NNLEFDDR,Male,45,RG273,Self_Employed,X2,87,,972351,Yes,1
EEBMBBDY,Female,28,RG254,Other,X1,13,Yes,3800193,No,0
NW9NUJDS,Female,66,RG268,Other,X2,87,Yes,3051160,Yes,0
FXM47JQV,Female,49,RG283,Self_Employed,X3,91,No,613948,Yes,0
J2GK8FVE,Female,40,RG283,Self_Employed,X3,56,No,1318677,No,0
3WX9QJ2X,Male,42,RG268,Other,X2,14,No,653811,Yes,0
FZTCYCC9,Female,51,RG251,Self_Employed,X3,121,No,506383,No,0
GYZ8CAK3,Male,31,RG280,Other,X1,14,No,465087,No,0
ZRIXPDBC,Male,33,RG280,Salaried,X1,14,Yes,174190,No,1
UYJIMKAR,Male,51,RG277,Self_Employed,X3,39,Yes,411544,Yes,0
D9MWPVGG,Female,39,RG279,Self_Employed,X3,93,No,276896,No,1
CKCKQUVK,Male,27,RG260,Salaried,X1,27,Yes,557611,No,0
DUDGSTWK,Male,31,RG254,Salaried,X1,32,No,1199809,No,0
8DCMRMAZ,Female,43,RG282,Other,X1,33,No,1049140,No,0
LXY7KNVJ,Male,48,RG283,Self_Employed,X3,43,Yes,3278386,No,0
26QY7JID,Female,50,RG283,Self_Employed,X3,105,Yes,2469376,Yes,0
J8KBGLTX,Female,27,RG268,Salaried,X3,20,Yes,739821,No,0
YE5VRQW9,Male,57,RG282,Self_Employed,X2,86,No,1029596,Yes,1
95DNDGKU,Male,33,RG273,Other,X1,19,No,1046132,No,0
NYQVKMZG,Female,49,RG274,Self_Employed,X3,27,No,461028,Yes,0
XHAOSKBX,Male,49,RG268,Self_Employed,X2,62,,716770,Yes,1
NDWKI89E,Male,32,RG257,Salaried,X1,25,No,1000911,No,0
PMXFBXHW,Male,54,RG284,Self_Employed,X2,37,No,1616053,Yes,0
QZJBSUK3,Male,46,RG254,Self_Employed,X3,123,Yes,476692,No,1
YGYDYPCJ,Male,34,RG270,Other,X1,14,No,683217,No,0
HEBNRSTH,Female,52,RG254,Self_Employed,X2,21,No,441333,No,1
CNIN5DY2,Male,30,RG268,Salaried,X1,33,No,1187883,No,0
CD66FUBZ,Female,28,RG254,Other,X1,25,No,569404,No,0
AEUQDBVO,Male,32,RG254,Salaried,X1,32,No,4125595,No,0
8UUD9T6E,Male,28,RG284,Other,X1,27,Yes,1458799,No,0
AHSFB7NX,Female,29,RG272,Other,X1,19,No,726044,No,0
9XR8MNCP,Male,29,RG261,Other,X1,21,No,1174132,No,0
UGBKSQJK,Male,28,RG254,Salaried,X1,13,No,919263,No,0
HEQGDEMA,Female,64,RG284,Other,X1,75,No,1854341,No,0
XZN2PZDG,Male,54,RG254,Self_Employed,X2,91,,2108881,No,1
PQKYB7VN,Male,29,RG257,Salaried,X1,13,No,1081065,Yes,0
8EFNIYJ4,Female,29,RG254,Salaried,X2,19,Yes,2390931,Yes,0
DRBGH3DK,Female,25,RG277,Salaried,X1,20,No,1059972,No,0
N4RVNVMQ,Female,25,RG276,Salaried,X1,21,No,711964,No,0
8CU34OKF,Male,63,RG268,Salaried,X3,117,Yes,3005209,No,1
J4WVTIFF,Male,26,RG268,Other,X1,19,Yes,1092644,No,0
BG5DAIYV,Female,29,RG250,Salaried,X1,26,No,216617,No,1
E5W55GGY,Male,39,RG268,Self_Employed,X2,33,No,867874,No,0
66DTW7KH,Male,58,RG251,Self_Employed,X3,85,Yes,718052,No,0
NGO2QWP5,Male,85,RG284,Other,X3,122,,1075662,Yes,1
ETFTALJN,Male,28,RG269,Other,X1,25,No,1231697,No,0
BDHVFC2R,Male,41,RG283,Other,X2,19,No,7880380,Yes,0
3VI39EDT,Female,34,RG277,Salaried,X1,26,No,334577,No,0
8OYC6S45,Male,41,RG254,Self_Employed,X1,27,Yes,765729,No,0
OJVCAAQF,Male,43,RG269,Self_Employed,X2,56,No,660460,Yes,0
A9DBJF9R,Female,33,RG261,Salaried,X3,20,No,1011022,No,0
RTB6QFRD,Female,40,RG255,Salaried,X1,27,No,1164778,No,0
4AOEWTME,Male,46,RG269,Self_Employed,X2,44,No,3195126,No,0
HFHJJTVR,Male,25,RG270,Salaried,X1,20,No,516778,No,0
HUWDHTEX,Male,65,RG283,Other,X3,98,,1451047,Yes,1
8CW5GH5N,Female,26,RG268,Salaried,X1,15,No,727103,Yes,0
XPTOQIAF,Male,43,RG260,Other,X3,57,No,597706,No,0
BQYAWTNB,Female,28,RG272,Other,X1,26,No,760424,No,0
QUWB59KZ,Female,29,RG277,Salaried,X3,26,No,1428289,No,0
MKCRHMUR,Male,29,RG283,Salaried,X1,31,No,717776,No,0
HDVOHVA3,Male,79,RG254,Other,X2,61,No,2768985,Yes,1
KOYJZUZ6,Male,79,RG282,Other,X1,13,No,780752,No,0
L3Y2Y7XO,Male,69,RG277,Other,X3,121,No,793194,Yes,0
EGXPSNTN,Male,28,RG254,Salaried,X1,14,No,1603691,No,0
GBCNOSPM,Female,29,RG268,Other,X1,33,No,1057907,No,0
3F5F59ZF,Female,30,RG252,Self_Employed,X1,19,No,461224,No,0
KRCLPPCM,Female,40,RG268,Other,X3,81,No,414615,Yes,0
VHJ8CS6G,Male,30,RG254,Salaried,X1,31,No,2414249,No,0
YDQMKEJU,Female,30,RG269,Other,X1,26,No,296886,No,0
5DVD8QVC,Male,45,RG254,Other,X4,13,Yes,409266,No,0
MVNNT3TN,Male,55,RG268,Other,X2,104,No,1885509,Yes,0
EMGTT4CM,Female,28,RG273,Other,X1,27,No,3449426,No,0
DZYAUAHU,Female,29,RG282,Salaried,X1,26,No,745161,No,0
N6P8WEHE,Female,58,RG268,Self_Employed,X3,115,Yes,2111044,Yes,1
HTTPYGVE,Female,28,RG281,Salaried,X3,21,Yes,1274426,No,0
DCGY3J5E,Female,35,RG284,Self_Employed,X2,27,No,2188527,No,0
OTUBXGVP,Female,36,RG280,Self_Employed,X1,25,No,548346,No,0
RCSLEIYN,Male,32,RG277,Self_Employed,X2,15,No,2030446,No,0
7HEGNIPW,Female,42,RG283,Self_Employed,X3,55,No,1011493,Yes,0
HWSTNKCM,Female,43,RG283,Self_Employed,X3,32,,984989,No,1
KZQHHIXX,Female,30,RG255,Salaried,X1,31,Yes,856304,No,0
I2J4QW4F,Male,74,RG281,Other,X2,81,,838940,No,1
AQRKEOYZ,Male,54,RG254,Self_Employed,X3,121,No,3646543,No,0
MU4WXWPT,Female,52,RG280,Other,X3,68,Yes,961965,Yes,1
MANIZZIW,Male,47,RG272,Other,X3,51,No,605689,No,0
6WXXQGEM,Female,40,RG283,Other,X3,39,Yes,482157,Yes,1
SKPVTPFT,Male,53,RG269,Other,X3,93,No,1597167,Yes,1
AHM3QAXH,Female,29,RG277,Other,X1,26,No,667286,No,0
GE5KOEPC,Male,27,RG258,Other,X1,13,No,544350,No,0
GT9EH8JO,Male,45,RG268,Self_Employed,X4,14,No,876979,Yes,0
NFNAFDXC,Male,50,RG283,Self_Employed,X3,105,Yes,1596072,Yes,0
XTGR2FTW,Male,60,RG250,Self_Employed,X2,25,Yes,514562,No,0
WTVAMCCF,Female,63,RG261,Other,X2,13,No,1035515,No,0
FCFDJ4FW,Male,68,RG268,Other,X2,105,No,1346053,No,0
CEQRDY3D,Female,56,RG254,Self_Employed,X3,49,No,1516924,No,0
HYJ2A8BH,Male,30,RG272,Salaried,X1,31,No,412817,No,0
PGCPGZGZ,Female,57,RG268,Self_Employed,X2,63,,1073393,No,1
CROZP3YP,Male,49,RG258,Self_Employed,X3,68,,537382,No,1
6DSFOU9H,Male,84,RG283,Other,X3,67,Yes,768782,No,1
OJI36PXH,Male,31,RG257,Other,X1,25,No,854756,No,0
D95NAL7S,Female,63,RG283,Other,X3,45,No,1317280,Yes,0
YXWFQ3XE,Female,53,RG280,Self_Employed,X3,21,,732033,Yes,0
AX23TZUB,Female,34,RG270,Salaried,X1,25,No,411464,No,0
JPGRDQG6,Male,47,RG283,Salaried,X3,80,,654666,No,1
X4N2WHHK,Female,40,RG254,Self_Employed,X3,27,No,574877,Yes,0
Z5UBN2TO,Male,44,RG283,Self_Employed,X3,93,,1477044,No,1
QZPWQW2S,Female,43,RG284,Self_Employed,X3,117,No,566048,Yes,1
AXR3KKOB,Male,80,RG284,Other,X3,81,No,683929,No,1
G7ETGUSB,Male,45,RG268,Entrepreneur,X3,98,,981732,Yes,1
NOFNYBZB,Male,70,RG254,Other,X3,104,No,641921,No,0
R9RVHDQE,Female,34,RG264,Salaried,X1,33,No,776053,No,0
CVVQKZJ7,Male,46,RG269,Self_Employed,X1,25,No,781304,No,0
7BEM37UF,Male,39,RG272,Self_Employed,X2,26,No,729897,Yes,0
FX39MP4Z,Female,30,RG283,Other,X1,27,No,1659431,No,0
9MNPK6YR,Female,34,RG283,Salaried,X1,32,No,2465593,No,0
CMK8J4GM,Male,59,RG283,Other,X2,104,Yes,928047,No,1
UFMQRJ4M,Female,31,RG283,Other,X1,19,No,1495805,Yes,0
B2YYN5S8,Male,27,RG252,Salaried,X1,20,No,997458,No,0
6WFSERTV,Female,45,RG283,Self_Employed,X3,38,No,1419710,No,0
2RFEU2WQ,Male,25,RG261,Self_Employed,X1,14,No,1003430,No,0
ICJLRRPJ,Male,46,RG276,Other,X3,121,Yes,695339,Yes,1
W7COBDCR,Male,38,RG268,Self_Employed,X2,26,,5857499,Yes,1
ZNAW5HPH,Female,27,RG273,Salaried,X1,14,No,341911,No,0
7SHG7DCX,Female,38,RG263,Other,X4,13,Yes,779462,No,1
RR7CJAUR,Female,82,RG283,Other,X2,86,Yes,736305,No,0
N7EVFJXE,Female,64,RG261,Other,X2,73,,5182372,No,1
GACZ5FCX,Male,54,RG282,Other,X2,67,No,490621,Yes,1
6QNEW9HS,Male,55,RG254,Self_Employed,X2,44,No,1214707,No,0
J6OWTYWG,Female,41,RG259,Self_Employed,X2,75,No,534818,Yes,0
6BNVTCXU,Female,28,RG254,Salaried,X1,26,No,551613,No,0
KFEYNDWV,Male,26,RG283,Self_Employed,X1,14,Yes,1460872,No,0
USZDJQPH,Male,78,RG284,Other,X2,93,Yes,1988811,Yes,0
ZUODQN8C,Male,81,RG283,Other,X3,74,No,1207543,Yes,0
7GJ4GIPX,Male,34,RG277,Salaried,X1,14,No,321281,No,0
3MR5GQZ5,Male,44,RG261,Other,X3,21,,1127523,Yes,1
DAXNDPQD,Female,29,RG268,Self_Employed,X1,21,No,1783061,Yes,0
2NKYTNBT,Male,25,RG280,Salaried,X1,20,No,673044,No,0
MHEKMPFE,Female,56,RG268,Salaried,X3,69,No,1003697,Yes,1
H9PNUHWJ,Male,32,RG268,Self_Employed,X1,21,No,1199951,Yes,0
CMKNJOBJ,Male,31,RG268,Salaried,X1,21,No,3969266,Yes,0
KSPE3XI4,Male,30,RG277,Salaried,X1,33,Yes,1822586,No,1
DMZDJIQC,Male,61,RG251,Self_Employed,X3,45,Yes,2195042,Yes,0
YJOYR4CV,Male,38,RG256,Other,X1,20,No,742616,No,0
EHXITTSJ,Male,52,RG283,Self_Employed,X2,50,No,969423,No,0
MV4JQVYA,Female,27,RG250,Salaried,X1,14,No,676925,No,0
F2DJFEQ9,Male,47,RG252,Self_Employed,X1,51,Yes,520463,Yes,0
JTWDSGMR,Male,55,RG268,Self_Employed,X3,87,Yes,636216,Yes,1
CCDRKEMR,Male,46,RG272,Other,X3,43,No,1053528,Yes,1
GTMCRBUY,Female,52,RG268,Self_Employed,X4,13,Yes,1611273,No,0
VXSH4V6X,Female,27,RG268,Salaried,X1,33,No,1465607,No,0
A7WV4QZZ,Male,29,RG258,Salaried,X1,21,No,925938,No,0
GZLDYWHL,Female,28,RG258,Salaried,X1,27,No,947689,No,0
HKUTQ98D,Female,54,RG268,Self_Employed,X3,26,Yes,912997,No,0
HX6DDXRH,Male,58,RG280,Self_Employed,X3,86,,467614,No,1
GW7HDED2,Male,32,RG272,Salaried,X1,31,No,1108165,No,0
GEWVNKOE,Male,65,RG254,Other,X3,116,Yes,1717068,No,1
KZR4P784,Male,32,RG251,Salaried,X1,19,No,326986,No,0
6WT2AZMJ,Female,54,RG283,Self_Employed,X3,61,No,1026810,Yes,0
PDXTBIKJ,Female,29,RG284,Salaried,X1,13,No,741957,Yes,0
XCPE8QMW,Male,42,RG283,Self_Employed,X1,81,No,1720806,Yes,1
TR5HAZ7V,Female,26,RG268,Salaried,X1,15,No,5273143,No,0
JKT4GZXM,Male,44,RG280,Self_Employed,X2,26,,789990,Yes,1
JCKSGKYB,Male,31,RG262,Salaried,X1,32,No,895126,No,0
RVB295BX,Female,33,RG254,Salaried,X1,25,No,1334439,Yes,0
BGBFLQQW,Male,43,RG268,Other,X2,31,Yes,856900,No,0
5HWWK2Q6,Male,29,RG270,Salaried,X1,20,Yes,743541,No,0
9MNMBDBK,Male,27,RG279,Salaried,X1,14,No,1503726,No,0
E5SCQNRQ,Male,28,RG254,Other,X1,26,No,1159999,Yes,0
FSDQCZMT,Male,28,RG280,Salaried,X1,25,No,1236156,No,0
QPFBQGGE,Male,30,RG275,Other,X1,19,No,688379,No,0
PEUSECOP,Female,57,RG272,Self_Employed,X2,26,No,974647,Yes,0
SMEQQS9Z,Male,27,RG270,Salaried,X1,15,No,225721,Yes,0
SVYAHVAZ,Male,67,RG253,Other,X2,56,No,1789558,No,0
L58HVJM2,Female,25,RG252,Salaried,X1,21,No,389197,No,0
6OVWXHHL,Male,65,RG283,Other,X3,74,No,1135729,No,0
BNF35ZZ6,Female,27,RG281,Other,X1,33,No,684116,No,0
9RXGVTCB,Male,29,RG278,Self_Employed,X1,27,No,1009108,No,0
CBPMUCBD,Male,28,RG282,Salaried,X1,19,Yes,886119,No,0
YRH7GNAA,Male,62,RG263,Other,X3,99,Yes,655307,No,0
Q3PR7DQG,Male,54,RG282,Self_Employed,X4,14,No,430884,Yes,0
XJGCJPXY,Male,28,RG251,Salaried,X1,20,No,348007,No,0
VRPAHDRZ,Male,26,RG268,Salaried,X1,13,No,1664522,Yes,0
DAK7UIRF,Male,78,RG268,Other,X1,68,No,2308962,Yes,0
SGKVHXKC,Male,50,RG277,Self_Employed,X3,111,No,1696135,Yes,0
SRB9YMVG,Female,78,RG283,Other,X1,45,Yes,2983564,No,0
