name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
This Is Spinal Tap,R,Comedy,1984,"March 2, 1984 (United States)",7.9,132000,Rob Reiner,Christopher Guest,Rob Reiner,United States,2500000,4736202,Spinal Tap Prod.,82
1984,R,Drama,1984,"March 22, 1985 (United States)",7.1,68000,Michael Radford,Michael Radford,John Hurt,United Kingdom,,8430492,Virgin,113
Top Secret!,PG,Comedy,1984,"June 8, 1984 (United States)",7.2,62000,Jim Abrahams,Jim Abrahams,Val Kilmer,United Kingdom,9000000,20458340,Kingsmere Properties,90
Conan the Destroyer,PG,Action,1984,"June 29, 1984 (United States)",5.9,77000,Richard Fleischer,Robert E. Howard,Arnold Schwarzenegger,United States,18000000,31042035,Dino De Laurentiis Company,103
Children of the Corn,R,Horror,1984,"March 9, 1984 (United States)",5.6,49000,Fritz Kiersch,Stephen King,Peter Horton,United States,800000,14568989,Hal Roach Studios,92
The Last Starfighter,PG,Action,1984,"July 13, 1984 (United States)",6.8,39000,Nick Castle,Jonathan R. Betuel,Lance Guest,United States,15000000,28733290,Lorimar Film Entertainment,101
Splash,PG,Comedy,1984,"March 9, 1984 (United States)",6.3,71000,Ron Howard,Brian Grazer,Tom Hanks,United States,8000000,69821334,Touchstone Pictures,111
Blood Simple,R,Crime,1984,"January 18, 1985 (United States)",7.6,91000,Joel Coen,Joel Coen,John Getz,United States,1500000,4228292,River Road Productions,99
The Natural,PG,Drama,1984,"May 11, 1984 (United States)",7.5,46000,Barry Levinson,Bernard Malamud,Robert Redford,United States,28000000,47951979,TriStar Pictures,138
Bachelor Party,R,Comedy,1984,"June 29, 1984 (United States)",6.3,36000,Neal Israel,Bob Israel,Tom Hanks,United States,5000000,38435947,Bachelor Party Productions,105
Nausicaä of the Valley of the Wind,,Animation,1984,"November 25, 1987 (United States)",8.1,157000,Hayao Miyazaki,Hayao Miyazaki,Sumi Shimamoto,Japan,1000000,8736506,Nibariki,117
Friday the 13th: the Final Chapter,R,Horror,1984,"April 13, 1984 (United States)",6,47000,Joseph Zito,Victor Miller,Erich Anderson,United States,2600000,32980880,Paramount Pictures,91
Hardbodies,R,Comedy,1984,"May 4, 1984 (United States)",4.9,3200,Mark Griffiths,Steve Greene,Grant Cramer,United States,,7121719,Chroma III Productions,88
Against All Odds,R,Action,1984,"March 2, 1984 (United States)",5.9,11000,Taylor Hackford,Eric Hughes,Rachel Ward,United States,13000000,21689062,Columbia Pictures,128
Supergirl,PG,Action,1984,"November 21, 1984 (United States)",4.4,19000,Jeannot Szwarc,David Odell,Helen Slater,United Kingdom,35000000,14296438,Artistry Limited,124
The Bounty,PG,Adventure,1984,"May 4, 1984 (United States)",7,25000,Roger Donaldson,Robert Bolt,Mel Gibson,United Kingdom,25000000,8613462,Dino De Laurentiis Company,132
Firestarter,R,Action,1984,"May 11, 1984 (United States)",6.1,30000,Mark L. Lester,Stephen King,Drew Barrymore,United States,15000000,17080167,Dino De Laurentiis Company,114
C.H.U.D.,R,Horror,1984,"August 31, 1984 (United States)",5.6,11000,Douglas Cheek,Parnell Hall,John Heard,United States,1250000,4654423,C.H.U.D. Productions,88
The Woman in Red,PG-13,Comedy,1984,"August 15, 1984 (United States)",6,15000,Gene Wilder,Jean-Loup Dabadie,Gene Wilder,United States,9000000,25348610,Orion Pictures,87
Runaway,PG-13,Action,1984,"December 14, 1984 (United States)",5.9,12000,Michael Crichton,Michael Crichton,Tom Selleck,United States,,6770587,TriStar Pictures,99
The Adventures of Buckaroo Banzai Across the 8th Dimension,PG,Adventure,1984,"October 5, 1984 (Canada)",6.4,25000,W.D. Richter,Earl Mac Rauch,Peter Weller,United States,,6254148,Sherwood Productions,103
Star Trek III: The Search for Spock,PG,Action,1984,"June 1, 1984 (United States)",6.7,76000,Leonard Nimoy,Gene Roddenberry,William Shatner,United States,17000000,76471046,Paramount Pictures,105
Repo Man,R,Action,1984,"March 2, 1984 (United States)",6.9,35000,Alex Cox,Alex Cox,Harry Dean Stanton,United States,1500000,129000,Edge City Productions,92
2010: the Year We Make Contact,PG,Adventure,1984,"December 7, 1984 (United States)",6.8,50000,Peter Hyams,Arthur C. Clarke,Roy Scheider,United States,28000000,40400657,Metro-Goldwyn-Mayer (MGM),116
The Killing Fields,R,Biography,1984,"February 1, 1985 (United States)",7.8,53000,Roland Joffé,Bruce Robinson,Sam Waterston,United Kingdom,14400000,34700291,Goldcrest Films International,141
The Cotton Club,R,Crime,1984,"December 14, 1984 (United States)",6.5,17000,Francis Ford Coppola,William Kennedy,Richard Gere,United States,58000000,25928721,Zoetrope Studios,127
Starman,PG,Romance,1984,"December 14, 1984 (United States)",7,44000,John Carpenter,Bruce A. Evans,Jeff Bridges,United States,22000000,28744356,Columbia Pictures,115
Night of the Comet,PG-13,Comedy,1984,"November 16, 1984 (United States)",6.4,19000,Thom Eberhardt,Thom Eberhardt,Catherine Mary Stewart,United States,700000,14418922,Atlantic Entertainment Group,95
Blame It on Rio,R,Comedy,1984,"February 17, 1984 (United States)",5.8,10000,Stanley Donen,Charlie Peters,Michael Caine,United States,,18644570,Sherwood Productions,100
Dreamscape,PG-13,Action,1984,"August 17, 1984 (United States)",6.3,14000,Joseph Ruben,David Loughery,Dennis Quaid,United States,,12145169,Zupnik-Curtis Enterprises,99
Crimes of Passion,R,Drama,1984,"October 19, 1984 (United States)",6.4,6600,Ken Russell,Barry Sandler,Kathleen Turner,United States,,2912945,New World Pictures,107
The Philadelphia Experiment,PG,Adventure,1984,"August 3, 1984 (United States)",6.1,15000,Stewart Raffill,Michael Janover,Michael Paré,United States,21000000,8103330,New World Pictures,102
Places in the Heart,PG,Drama,1984,"October 5, 1984 (United States)",7.4,11000,Robert Benton,Robert Benton,Sally Field,United States,,34901614,Delphi II Productions,111
Bolero,R,Comedy,1984,"August 31, 1984 (United States)",3,5100,John Derek,John Derek,Bo Derek,United States,7000000,8914881,City Films,105
Cannonball Run II,PG,Action,1984,"June 29, 1984 (United States)",5.1,15000,Hal Needham,Brock Yates,Burt Reynolds,Hong Kong,20000000,28078073,Arcafin B.V.,108
Stranger Than Paradise,R,Comedy,1984,"October 4, 1984 (United Kingdom)",7.5,36000,Jim Jarmusch,Jim Jarmusch,John Lurie,United States,90000,2436000,Cinesthesia Productions,89
The Ice Pirates,PG,Action,1984,"March 16, 1984 (United States)",5.7,10000,Stewart Raffill,Stewart Raffill,Robert Urich,United States,9000000,14255801,Metro-Goldwyn-Mayer (MGM),91
A Passage to India,PG,Adventure,1984,"February 1, 1985 (United States)",7.3,18000,David Lean,E.M. Forster,Judy Davis,United Kingdom,16000000,27201487,EMI Films,164
Purple Rain,R,Drama,1984,"July 27, 1984 (United States)",6.5,20000,Albert Magnoli,Albert Magnoli,Prince,United States,7200000,70263155,Warner Bros.,111
The Hotel New Hampshire,R,Comedy,1984,"March 9, 1984 (United States)",6,8000,Tony Richardson,John Irving,Rob Lowe,United Kingdom,7500000,5142858,Filmline Productions,109
The Hit,R,Crime,1984,"March 8, 1985 (United States)",7.1,7700,Stephen Frears,Peter Prince,Freddie Stuart,United Kingdom,,876775,Zenith Entertainment,98
Sheena,PG,Adventure,1984,"August 17, 1984 (United States)",4.9,4600,John Guillermin,David Newman,Tanya Roberts,United Kingdom,25000000,5778353,Colgems Productions Ltd.,117
Missing in Action,R,Action,1984,"November 16, 1984 (United States)",5.5,14000,Joseph Zito,Arthur Silver,Chuck Norris,United States,2550000,22812411,The Cannon Group,101
"Greystoke: The Legend of Tarzan, Lord of the Apes",PG,Adventure,1984,"March 30, 1984 (United States)",6.4,18000,Hugh Hudson,Edgar Rice Burroughs,Christopher Lambert,United Kingdom,30000000,45858563,Warner Bros.,143
The Muppets Take Manhattan,G,Adventure,1984,"July 13, 1984 (United States)",6.9,20000,Frank Oz,Tom Patchett,Jim Henson,United States,,25534703,Henson Associates (HA),94
The Wild Life,R,Comedy,1984,"September 28, 1984 (United States)",6.1,2500,Art Linson,Cameron Crowe,Chris Penn,United States,,11020375,Universal Pictures,96
Falling in Love,PG-13,Drama,1984,"November 21, 1984 (United States)",6.5,13000,Ulu Grosbard,Michael Cristofer,Robert De Niro,United States,12000000,11129057,Paramount Pictures,106
Gwendoline,R,Action,1984,"January 25, 1985 (United States)",5.3,2700,Just Jaeckin,Just Jaeckin,Tawny Kitaen,France,,1337274,Films de L'Alma,87
Breakin',PG,Comedy,1984,"May 4, 1984 (United States)",5.8,6000,Joel Silberg,Charles Parker,Lucinda Dickey,United States,,38682707,Golan-Globus Productions,90
Birdy,R,Drama,1984,"December 21, 1984 (United States)",7.3,22000,Alan Parker,William Wharton,Matthew Modine,United States,12000000,1455045,A&M Films,120
The Company of Wolves,R,Drama,1984,"April 19, 1985 (United States)",6.7,15000,Neil Jordan,Angela Carter,Sarah Patterson,United Kingdom,2000000,4389334,Incorporated Television Company (ITC),95
Ghoulies,PG-13,Comedy,1984,"January 18, 1985 (United States)",4.2,8400,Luca Bercovici,Luca Bercovici,Peter Liapis,United States,5500000,,Empire Pictures,81
Electric Dreams,PG,Comedy,1984,"July 20, 1984 (United States)",6.5,7100,Steve Barron,Rusty Lemorande,Lenny von Dohlen,United States,,2193612,Virgin,95
Cloak & Dagger,PG,Action,1984,"August 10, 1984 (United States)",6.6,7000,Richard Franklin,Tom Holland,Henry Thomas,United States,,,Universal Pictures,101
Racing with the Moon,PG,Comedy,1984,"March 23, 1984 (United States)",6.7,4200,Richard Benjamin,Steve Kloves,Sean Penn,United States,6500000,6045647,Jaffe-Lansing,108
"Silent Night, Deadly Night",R,Horror,1984,"November 9, 1984 (United States)",5.9,14000,Charles E. Sellier Jr.,Paul Caimi,Lilyan Chauvin,United States,1065000,2491460,TriStar Pictures,79
The Pope of Greenwich Village,R,Action,1984,"June 22, 1984 (United States)",6.7,8000,Stuart Rosenberg,Vincent Patrick,Eric Roberts,United States,8000000,6836201,United Artists,121
All of Me,PG,Comedy,1984,"September 21, 1984 (United States)",6.7,17000,Carl Reiner,Edwin Davis,Steve Martin,United States,,36403064,Kings Road Entertainment,93
"Grandview, U.S.A.",R,Drama,1984,"August 3, 1984 (United States)",5.4,1800,Randal Kleiser,Ken Hixon,Jamie Lee Curtis,United States,,4743119,CBS Theatrical Films,97
Where the Boys Are,R,Comedy,1984,"April 6, 1984 (United States)",4.1,983,Hy Averback,Stu Krieger,Lisa Hartman,United Kingdom,,10530000,Incorporated Television Company (ITC),94
Reckless,R,Comedy,1984,"February 3, 1984 (United States)",6.3,1900,James Foley,Chris Columbus,Aidan Quinn,United States,,8289916,Edgar J. Scherick Associates,90
Tightrope,R,Crime,1984,"August 17, 1984 (United States)",6.3,16000,Richard Tuggle,Richard Tuggle,Clint Eastwood,United States,,48143579,The Malpaso Company,114
Rhinestone,PG,Comedy,1984,"June 22, 1984 (United States)",3.9,7000,Bob Clark,Phil Alden Robinson,Sylvester Stallone,United States,28000000,21435321,Twentieth Century Fox,111
The Flamingo Kid,PG-13,Comedy,1984,"December 21, 1984 (United States)",6.2,5000,Garry Marshall,Neal Marshall,Matt Dillon,United States,,23859382,ABC Motion Pictures,100
Up the Creek,R,Comedy,1984,"April 6, 1984 (United States)",5.6,3300,Robert Butler,Jim Kouf,Tim Matheson,United States,,11708269,Orion Pictures,96
Swing Shift,PG,Drama,1984,"April 13, 1984 (United States)",5.9,4400,Jonathan Demme,Nancy Dowd,Goldie Hawn,United States,15000000,6650206,Warner Bros.,100
Beat Street,PG,Drama,1984,"June 8, 1984 (United States)",6.5,3600,Stan Lathan,Steven Hager,Rae Dawn Chong,United States,9500000,16595791,Orion Pictures,105
Joy of Sex,R,Comedy,1984,"August 3, 1984 (United States)",3.7,705,Martha Coolidge,Kathleen Rowell,Cameron Dye,United States,,4463841,Paramount Pictures,93
Breakin' 2: Electric Boogaloo,PG,Comedy,1984,"December 21, 1984 (United States)",5.1,3900,Sam Firstenberg,Charles Parker,Lucinda Dickey,United States,,15101131,TriStar Pictures,94
The Razor's Edge,PG-13,Drama,1984,"October 19, 1984 (United States)",6.6,5100,John Byrum,W. Somerset Maugham,Bill Murray,United Kingdom,13000000,6551987,Columbia Pictures,128
Tank,PG,Action,1984,"March 16, 1984 (United States)",5.8,4100,Marvin J. Chomsky,Dan Gordon,James Garner,United States,,11302884,Lorimar Film Entertainment,113
Moscow on the Hudson,R,Comedy,1984,"April 6, 1984 (United States)",6.5,11000,Paul Mazursky,Paul Mazursky,Robin Williams,United States,13000000,25068724,Bavaria Film,115
Ninja III: The Domination,R,Action,1984,"September 14, 1984 (United States)",5.4,4200,Sam Firstenberg,James R. Silke,Shô Kosugi,United States,,7610785,Golan-Globus Productions,92
The Warrior and the Sorceress,R,Adventure,1984,"September 7, 1984 (United States)",4.3,1700,John C. Broderick,John C. Broderick,David Carradine,United States,,2886225,Aries Cinematográfica Argentina,81
The Evil That Men Do,R,Action,1984,"September 21, 1984 (United States)",6,3600,J. Lee Thompson,R. Lance Hill,Charles Bronson,Mexico,4600000,13102025,Capricorn,90
Firstborn,R,Drama,1984,"October 26, 1984 (United States)",6.2,2300,Michael Apted,Ron Koslow,Teri Garr,United States,8000000,6250994,Paramount Pictures,103
Cut and Run,R,Adventure,1984,"May 2, 1986 (United States)",5.7,2100,Ruggero Deodato,Cesare Frugoni,Lisa Blount,Italy,,,Racing Pictures,90
Teachers,R,Comedy,1984,"October 5, 1984 (United States)",6.1,4000,Arthur Hiller,W.R. McKinney,Nick Nolte,United States,9000000,27774237,United Artists,107
Repentance,PG,Drama,1984,"May 18, 1987 (Denmark)",8.3,4100,Tengiz Abuladze,Tengiz Abuladze,Avtandil Makharadze,Soviet Union,,,Georgian-Film,153
The River,PG-13,Drama,1984,"January 11, 1985 (United States)",6.3,6500,Mark Rydell,Robert Dillon,Mel Gibson,United States,18000000,11489982,Universal Pictures,124
Razorback,R,Horror,1984,"November 16, 1984 (United States)",6,6100,Russell Mulcahy,Everett De Roche,Gregory Harrison,Australia,,150463,UAA Films,95
A Soldier's Story,PG,Crime,1984,"November 2, 1984 (United States)",7.2,9300,Norman Jewison,Charles Fuller,Howard E. Rollins Jr.,United States,6000000,21821347,Columbia Pictures,101
Comfort and Joy,PG,Comedy,1984,"October 10, 1984 (United States)",6.7,1900,Bill Forsyth,Bill Forsyth,Bill Paterson,United Kingdom,,1057368,Lake (Comfort and Joy),106
Meatballs Part II,PG,Comedy,1984,"July 27, 1984 (United States)",3.7,2300,Ken Wiederhorn,Martin Kitrosser,Richard Mulligan,United States,,5410972,TriStar Pictures,87
Lassiter,R,Action,1984,"February 17, 1984 (United States)",5.9,2200,Roger Young,David Taylor,Tom Selleck,United States,,17513452,Golden Harvest Company,100
Irreconcilable Differences,PG,Comedy,1984,"September 28, 1984 (United States)",5.8,2900,Charles Shyer,Nancy Meyers,Ryan O'Neal,United States,6000000,12414210,Hemdale,113
City Heat,PG,Action,1984,"December 7, 1984 (United States)",5.5,9300,Richard Benjamin,Blake Edwards,Clint Eastwood,United States,25000000,38348988,Warner Bros.,93
Under the Volcano,R,Drama,1984,"June 13, 1984 (United States)",7,5100,John Huston,Malcolm Lowry,Albert Finney,Mexico,,2556800,Conacite Uno,112
Iceman,PG,Drama,1984,"April 13, 1984 (United States)",6.1,5300,Fred Schepisi,Chip Proser,Timothy Hutton,United States,,7343032,Universal Pictures,100
Flashpoint,R,Action,1984,"August 31, 1984 (United States)",6.4,2300,William Tannen,George LaFountaine,Kris Kristofferson,United States,10000000,3854833,HBO Pictures,93
The Little Drummer Girl,R,Drama,1984,"October 19, 1984 (United States)",6.1,2000,George Roy Hill,Loring Mandel,Diane Keaton,United States,,7828841,Bavaria Film,130
Lust in the Dust,R,Comedy,1984,"March 1, 1985 (United States)",6.4,3000,Paul Bartel,Philip John Taylor,Tab Hunter,United States,3000000,727639,Fox Run Productions Inc.,84
Hot Moves,R,Comedy,1984,"October 4, 1984 (United States)",4.8,619,Jim Sotos,Larry Anderson,Michael Zorek,United States,,2732684,Spectrum Cinema Productions,85
Oxford Blues,PG-13,Comedy,1984,"August 24, 1984 (United States)",5.3,3000,Robert Boris,Robert Boris,Rob Lowe,United Kingdom,,8793152,Baltic Industrial Finance,97
Thief of Hearts,Not Rated,Crime,1984,"October 19, 1984 (United States)",5.8,1600,Douglas Day Stewart,Douglas Day Stewart,Steven Bauer,United States,9000000,10435015,Don Simpson/Jerry Bruckheimer Films,100
The Brother from Another Planet,R,Comedy,1984,"September 14, 1984 (United States)",6.8,5700,John Sayles,John Sayles,Joe Morton,United States,350000,3677209,Anarchist's Convention Films,108
No Small Affair,R,Comedy,1984,"November 9, 1984 (United States)",5.5,2000,Jerry Schatzberg,Craig Bolotin,Jon Cryer,United States,,4994094,Delphi II Productions,102
Broadway Danny Rose,PG,Comedy,1984,"January 27, 1984 (United States)",7.4,24000,Woody Allen,Woody Allen,Woody Allen,United States,8000000,10600497,Orion Pictures,84
Best Defense,R,Comedy,1984,"July 20, 1984 (United States)",3.8,5600,Willard Huyck,Robert Grossbach,Dudley Moore,United States,18000000,19265302,Cinema Group Ventures,94
Micki + Maude,PG-13,Comedy,1984,"December 21, 1984 (United States)",6,2800,Blake Edwards,Jonathan Reynolds,Dudley Moore,United States,15100000,26080861,BBE,118
Protocol,PG,Comedy,1984,"December 21, 1984 (United States)",5.5,4600,Herbert Ross,Buck Henry,Goldie Hawn,United States,12000000,26186631,Hawn / Sylbert Movie Company,96
Exterminator 2,R,Action,1984,"September 14, 1984 (United States)",4.5,2000,Mark Buntzman,Mark Buntzman,Robert Ginty,United States,,3739406,The Cannon Group,89
American Dreamer,PG,Comedy,1984,"October 26, 1984 (United States)",6.6,1400,Rick Rosenthal,Ann Biderman,JoBeth Williams,United States,,5021751,CBS Theatrical Films,105
The Lonely Guy,R,Comedy,1984,"January 27, 1984 (United States)",6.3,6800,Arthur Hiller,Ed. Weinberger,Steve Martin,United States,,5718573,Universal Pictures,90
Choose Me,R,Comedy,1984,"August 29, 1984 (United States)",6.8,2600,Alan Rudolph,Alan Rudolph,Geneviève Bujold,United States,700000,2490233,Tartan Productions,106
Making the Grade,R,Comedy,1984,"May 18, 1984 (United States)",5.7,1300,Dorian Walker,Gene Quintano,Judd Nelson,United States,,4561346,The Cannon Group,105
Full Moon in Paris,R,Comedy,1984,"August 29, 1984 (France)",7.4,4200,Éric Rohmer,Éric Rohmer,Pascale Ogier,France,,15726,Les Films du Losange,101
Unfaithfully Yours,PG,Comedy,1984,"February 10, 1984 (United States)",6,2600,Howard Zieff,Preston Sturges,Dudley Moore,United States,12000000,19928200,Twentieth Century Fox,96
Impulse,R,Horror,1984,"September 28, 1984 (United States)",5.9,1300,Graham Baker,Nicholas Kazan,Tim Matheson,United States,10000000,2773433,ABC Motion Pictures,91
Mrs. Soffel,PG-13,Drama,1984,"February 8, 1985 (United States)",6.1,3000,Gillian Armstrong,Ron Nyswaner,Diane Keaton,United States,11000000,4385312,Edgar J. Scherick Associates,110
Garbo Talks,PG-13,Comedy,1984,"October 12, 1984 (United States)",6.4,1500,Sidney Lumet,Larry Grusin,Anne Bancroft,United States,,1493782,United Artists,103
Country,PG,Drama,1984,"September 29, 1984 (United States)",6.7,1800,Richard Pearce,William D. Wittliff,Jessica Lange,United States,,9640000,Far West,105
Cheech & Chong's the Corsican Brothers,PG,Comedy,1984,"July 27, 1984 (United States)",4.7,3900,Tommy Chong,Tommy Chong,Cheech Marin,United States,,3772785,Orion Pictures,82
Purple Hearts,R,Drama,1984,"August 31, 1984 (West Germany)",5.8,816,Sidney J. Furie,Rick Natkin,Ken Wahl,United States,,2075282,The Ladd Company,116
Give My Regards to Broad Street,PG,Drama,1984,"October 23, 1984 (United States)",5.2,1400,Peter Webb,Paul McCartney,Paul McCartney,United Kingdom,9000000,1393501,MPL Communications,108
Songwriter,R,Drama,1984,"October 14, 1984 (United States)",6.3,599,Alan Rudolph,Bud Shrake,Willie Nelson,United States,,865915,TriStar Pictures,94
Finders Keepers,R,Comedy,1984,"May 18, 1984 (United States)",5.4,856,Richard Lester,Charles Dennis,Michael O'Keefe,United States,7000000,1467396,CBS Theatrical Films,96
The Bostonians,Not Rated,Drama,1984,"October 5, 1984 (United Kingdom)",6.3,1800,James Ivory,Henry James,Christopher Reeve,United Kingdom,,1009700,Merchant Ivory Productions,122
Body Rock,PG-13,Drama,1984,"September 28, 1984 (United States)",3.7,446,Marcelo Epstein,Desmond Nakano,Lorenzo Lamas,United States,,1689501,New World Pictures,93
The River Rat,PG,Adventure,1984,"September 28, 1984 (United States)",6.3,866,Thomas Rickman,Thomas Rickman,Tommy Lee Jones,United States,,1142944,Cinema Group Ventures,93
Just the Way You Are,PG,Comedy,1984,"November 16, 1984 (United States)",5.9,807,Édouard Molinaro,Allan Burns,Kristy McNichol,United States,,7889694,Metro-Goldwyn-Mayer (MGM),94
Until September,R,Drama,1984,"September 21, 1984 (United States)",5.7,634,Richard Marquand,Janice Lee Graham,Karen Allen,United States,,4239154,United Artists,95
Crackers,PG,Adventure,1984,"February 17, 1984 (United States)",5.2,1200,Louis Malle,Jeffrey Alan Fiskin,Donald Sutherland,United States,12000000,129268,Universal Pictures,91
Kaos,R,Comedy,1984,"February 14, 1986 (United States)",7.9,2700,Paolo Taviani,Luigi Pirandello,Margarita Lozano,Italy,,,Filmtre,187
Misunderstood,PG,Drama,1984,"March 30, 1984 (United States)",6,440,Jerry Schatzberg,Florence Montgomery,Gene Hackman,Italy,,1525532,ACCENT Films,91
Mike's Murder,R,Drama,1984,"March 9, 1984 (United States)",5.8,822,James Bridges,James Bridges,Debra Winger,United States,6300000,1059966,Skyewiay,109
The Buddy System,PG,Drama,1984,"January 20, 1984 (United States)",5.7,794,Glenn Jordan,Mary Agnes Donoghue,Richard Dreyfuss,United States,,1820049,Twentieth Century Fox,110
A Private Function,R,Comedy,1984,"March 1, 1985 (United States)",6.5,2600,Malcolm Mowbray,Alan Bennett,Michael Palin,United Kingdom,,2527088,HandMade Films,92
Scandalous,PG,Comedy,1984,"January 20, 1984 (United States)",4.5,212,Rob Cohen,Larry Cohen,Robert Hays,United Kingdom,,526805,Angeles Cinema Investors,92
"Oh, God! You Devil",PG,Comedy,1984,"November 9, 1984 (United States)",5.4,2400,Paul Bogart,Andrew Bergman,George Burns,United States,,21538850,Warner Bros.,97
The Bay Boy,R,Drama,1984,"February 15, 1985 (United States)",6.3,653,Daniel Petrie,Daniel Petrie,Liv Ullmann,Canada,,162364,International Cinema Corporation (ICC),107
Heavenly Bodies,R,Drama,1984,"February 1, 1985 (United States)",5.2,733,Lawrence Dane,Lawrence Dane,Cynthia Dale,Canada,,1839623,Producers Sales Organization (PSO),90
Heartbreakers,R,Drama,1984,"September 28, 1984 (United States)",5.9,456,Bobby Roth,Bobby Roth,Peter Coyote,United States,,148750,Jethro Films Production,98
Champions,PG,Biography,1984,"April 20, 1984 (United States)",6.5,586,John Irvin,Bob Champion,John Hurt,United Kingdom,,200498,Archerwest,106
A Sunday in the Country,G,Drama,1984,"April 11, 1984 (France)",7.6,2500,Bertrand Tavernier,Pierre Bost,Louis Ducreux,France,,2411143,Films A2,90
Mass Appeal,PG,Drama,1984,"December 14, 1984 (United States)",6.6,952,Glenn Jordan,Bill C. Davis,Jack Lemmon,United States,,1945658,David Foster Productions,99
Windy City,R,Drama,1984,"January 1, 1986 (Uruguay)",5.8,262,Armyan Bernstein,Armyan Bernstein,John Shea,United States,,343890,CBS Theatrical Films,103
Lovelines,R,Comedy,1984,"November 2, 1984 (United States)",5.3,241,Rod Amateau,Chip Hand,Greg Bradford,United States,,,Delphi II Productions,93
The Bear,PG,Biography,1984,"September 28, 1984 (United States)",6.1,270,Richard C. Sarafian,Michael Kane,Gary Busey,United States,221000,2687148,,110
Weekend Pass,R,Comedy,1984,"February 3, 1984 (United States)",3.8,424,Lawrence Bassoff,Lawrence Bassoff,Patrick Houser,United States,,21058033,Marimark Productions,88
Over the Brooklyn Bridge,R,Comedy,1984,"March 2, 1984 (United States)",5.7,1400,Menahem Golan,Arnold Somkin,Elliott Gould,United States,,837914,City Films,108
Fast Talking,Not Rated,Drama,1984,"April 23, 1986 (United States)",6.9,94,Ken Cameron,Ken Cameron,Steve Bisley,Australia,,,Filmtrex,95
Lily in Love,PG-13,Comedy,1984,"April 19, 1985 (United States)",5.7,184,Károly Makk,Frank Cucci,Christopher Plummer,Hungary,,,Hungarofilm,90
Winter Flight,,Drama,1984,"February 14, 1986 (United States)",7.3,67,Roy Battersby,Alan Janes,Reece Dinsdale,United Kingdom,,2729,Enigma Productions,89
Almost You,R,Comedy,1984,"March 29, 1985 (United States)",5.1,216,Adam Brooks,Adam Brooks,Brooke Adams,United States,1000000,95000,Almost You,96
The Adventures of Pinocchio,Not Rated,Animation,1984,"June 8, 1984 (United States)",5.1,73,Ippei Kuri,Donald Paonessa,Danielle Romeo,United States,,,Century Video Corporation,98
Blame It on the Night,PG-13,Comedy,1984,"November 2, 1984 (United States)",5.1,172,Gene Taft,Gene Taft,Nick Mancuso,United States,,,Delphi II Productions,85
Petit Con,R,Comedy,1984,"April 19, 1985 (United States)",6.2,105,Gérard Lauzier,Gérard Lauzier,Guy Marchand,France,,127426,Gaumont International,90
Weird Science,PG-13,Comedy,1985,"August 2, 1985 (United States)",6.6,83000,John Hughes,John Hughes,Anthony Michael Hall,United States,7500000,38934048,Universal Pictures,94
The Goonies,PG,Adventure,1985,"June 7, 1985 (United States)",7.8,252000,Richard Donner,Chris Columbus,Sean Astin,United States,19000000,63980721,Warner Bros.,114
Back to the Future,PG,Adventure,1985,"July 3, 1985 (United States)",8.5,1100000,Robert Zemeckis,Robert Zemeckis,Michael J. Fox,United States,19000000,381906762,Universal Pictures,116
To Live and Die in L.A.,R,Action,1985,"November 1, 1985 (United States)",7.3,31000,William Friedkin,Gerald Petievich,William Petersen,United States,6000000,17307019,SLM Production Group,116
Clue,PG,Comedy,1985,"December 13, 1985 (United States)",7.3,88000,Jonathan Lynn,John Landis,Eileen Brennan,United States,15000000,14643997,Paramount Pictures,94
The Breakfast Club,R,Comedy,1985,"February 15, 1985 (United States)",7.8,367000,John Hughes,John Hughes,Emilio Estevez,United States,1000000,51525171,Universal Pictures,97
Cocoon,PG-13,Comedy,1985,"June 21, 1985 (United States)",6.7,59000,Ron Howard,Tom Benedek,Don Ameche,United States,17500000,85313124,Twentieth Century Fox,117
Rambo: First Blood Part II,R,Action,1985,"May 22, 1985 (United States)",6.5,159000,George P. Cosmatos,David Morrell,Sylvester Stallone,United States,44000000,300400432,Estudios Churubusco Azteca S.A.,96
Mask,PG-13,Biography,1985,"March 22, 1985 (United States)",7.2,27000,Peter Bogdanovich,Anna Hamilton Phelan,Cher,United States,8000000,48230162,Universal Pictures,120
Legend,PG,Adventure,1985,"April 18, 1986 (United States)",6.4,62000,Ridley Scott,William Hjortsberg,Tom Cruise,United States,24500000,15502112,Legend Production Company,94
The Return of the Living Dead,R,Comedy,1985,"August 16, 1985 (United States)",7.3,56000,Dan O'Bannon,Rudy Ricci,Clu Gulager,United States,4000000,14237880,Cinema '84,91
St. Elmo's Fire,R,Drama,1985,"June 28, 1985 (United States)",6.4,38000,Joel Schumacher,Joel Schumacher,Demi Moore,United States,10000000,37803872,Columbia Pictures,110
Brazil,R,Drama,1985,"December 18, 1985 (United States)",7.9,191000,Terry Gilliam,Terry Gilliam,Jonathan Pryce,United Kingdom,15000000,9949953,Embassy International Pictures,132
Pale Rider,R,Drama,1985,"June 28, 1985 (United States)",7.3,55000,Clint Eastwood,Michael Butler,Clint Eastwood,United States,6900000,41410568,The Malpaso Company,115
Teen Wolf,PG,Comedy,1985,"August 23, 1985 (United States)",6.1,48000,Rod Daniel,Jeph Loeb,Michael J. Fox,United States,,33086611,Atlantic Entertainment Group,91
